chercheur_id,article_id,raw_pub_id
fsbm_amal_elhamsaselyoubi,art_00210,fsbm_amal_elhamsaselyoubi::oa:W3123479378
fsbm_said_gmouh,art_00211,fsbm_said_gmouh::oa:W1550704319
fsbm_abdelmottalib_nahli,art_00212,fsbm_abdelmottalib_nahli::oa:W2950220885
fsbm_omar_zakary,art_00213,fsbm_omar_zakary::oa:W4391935262
fsbm_tarik_chafiq,art_00214,fsbm_tarik_chafiq::oa:W2906378654
fsbm_mohamed_talea,art_00215,fsbm_mohamed_talea::oa:W2588785842
fsbm_rachida_moultif,art_00216,fsbm_rachida_moultif::oa:W2511286401
fsbm_soumia_belouafa,art_00217,fsbm_soumia_belouafa::oa:W3037327952
fsbm_abdelmottalib_nahli,art_00218,fsbm_abdelmottalib_nahli::oa:W4291474157
fsbm_sanaa_elfilali,art_00219,fsbm_sanaa_elfilali::oa:W4399249563
fsbm_omar_zakary,art_00220,fsbm_omar_zakary::oa:W2463513620
fsbm_mohamed_talea,art_00221,fsbm_mohamed_talea::oa:W2578319993
fsbm_wadi_badri,art_00222,fsbm_wadi_badri::oa:W2005067107
fsbm_allal_labriki,art_00223,fsbm_allal_labriki::oa:W2559805569
fsbm_abderrahmane_daif,art_00224,fsbm_abderrahmane_daif::oa:W2966846002
fsbm_omar_tanane,art_00225,fsbm_omar_tanane::oa:W3004061562
fsbm_omar_tanane,art_00226,fsbm_omar_tanane::oa:W4414010058
fsbm_abdelmjid_abourriche,art_00227,fsbm_abdelmjid_abourriche::oa:W4416666812
fsbm_mohamed_talea,art_00228,fsbm_mohamed_talea::oa:W4290928159
fsbm_faouzia_benabbou,art_00229,fsbm_faouzia_benabbou::oa:W4396505980
fsbm_nawal_sael,art_00229,fsbm_nawal_sael::oa:W4396505980
fsbm_mohamed_ghazouani,art_00230,fsbm_mohamed_ghazouani::oa:W4391948998
fsbm_driss_radallah,art_00231,fsbm_driss_radallah::oa:W2912792081
fsbm_tarik_chafiq,art_00232,fsbm_tarik_chafiq::oa:W4390146458
fsbm_tarik_chafiq,art_00233,fsbm_tarik_chafiq::oa:W4410390551
fsbm_anass_kettani,art_00234,fsbm_anass_kettani::oa:W2767109727
fsbm_halima_lebrazi,art_00234,fsbm_halima_lebrazi::oa:W2767109727
fsbm_karima_mohtadi,art_00235,fsbm_karima_mohtadi::oa:W4404571480
fsbm_halima_lebrazi,art_00236,fsbm_halima_lebrazi::oa:W2804999305
fsbm_karima_mohtadi,art_00236,fsbm_karima_mohtadi::oa:W2804999305
fsbm_rachid_saile,art_00236,fsbm_rachid_saile::oa:W2804999305
fsbm_wadi_badri,art_00237,fsbm_wadi_badri::oa:W3175229317
fsbm_abdelmottalib_nahli,art_00238,fsbm_abdelmottalib_nahli::oa:W4412620674
fsbm_abdelmottalib_nahli,art_00239,fsbm_abdelmottalib_nahli::oa:W4391695717
fsbm_soufiane_maimouni,art_00240,fsbm_soufiane_maimouni::oa:W3090824822
fsbm_anass_kettani,art_00241,fsbm_anass_kettani::oa:W4388463059
fsbm_halima_lebrazi,art_00241,fsbm_halima_lebrazi::oa:W4388463059
fsbm_karima_mohtadi,art_00241,fsbm_karima_mohtadi::oa:W4388463059
fsbm_halima_lebrazi,art_00242,fsbm_halima_lebrazi::oa:W1990667487
fsbm_anass_kettani,art_00243,fsbm_anass_kettani::oa:W3200798303
fsbm_halima_lebrazi,art_00243,fsbm_halima_lebrazi::oa:W3200798303
fsbm_halima_lebrazi,art_00244,fsbm_halima_lebrazi::oa:W3088029189
fsbm_rachid_saile,art_00245,fsbm_rachid_saile::oa:W2806707430
fsbm_anass_kettani,art_00246,fsbm_anass_kettani::oa:W3037310558
fsbm_halima_lebrazi,art_00246,fsbm_halima_lebrazi::oa:W3037310558
fsbm_abdellah_hamdaoui,art_00247,fsbm_abdellah_hamdaoui::oa:W4226453204
fsbm_omar_tanane,art_00248,fsbm_omar_tanane::oa:W3006958465
fsbm_khalid_kandali,art_00249,fsbm_khalid_kandali::oa:W4413132997
fsbm_said_nouh,art_00249,fsbm_said_nouh::oa:W4413132997
fsbm_omar_zahour,art_00250,fsbm_omar_zahour::oa:W2987847574
